GEO,POPULATION_MUNICIPALE,NB_CONSEILLERS_TOTAL,TOTAL_HABITANTS_FICHIER_LOGEMENT,TOTAL_LOCATAIRES,PROPORTION_LOCATAIRES,NB_CONSEILLERS_LOCATAIRES
01384,2179.0,19.0,2091.0,900.0,43.0416068866571,8
01385,922.0,15.0,922.0,211.0,22.885032537960953,3
01386,1140.0,15.0,1131.0,219.0,19.363395225464192,3
01387,259.0,11.0,259.0,27.0,10.424710424710424,1
01388,1122.0,15.0,1042.0,393.0,37.715930902111324,6
01389,1910.0,19.0,1837.0,507.0,27.59934676102341,5
01390,1229.0,15.0,1164.0,469.0,40.292096219931274,6
01391,295.0,11.0,295.0,37.0,12.54237288135593,1
01392,645.0,15.0,645.0,47.0,7.286821705426356,1
01393,578.0,15.0,578.0,98.0,16.955017301038062,3
01396,1007.0,15.0,1007.0,378.0,37.53723932472691,6
01397,1003.0,15.0,1003.0,318.0,31.704885343968098,5
01398,1459.0,15.0,1452.0,326.0,22.451790633608816,3
01399,2676.0,23.0,2676.0,1080.0,40.35874439461883,9
01400,136.0,11.0,136.0,38.0,27.941176470588236,3
01401,2279.0,19.0,2279.0,611.0,26.810004387889425,5
01402,659.0,15.0,659.0,146.0,22.15477996965099,3
01403,1329.0,15.0,1329.0,359.0,27.012791572610983,4
01404,135.0,11.0,135.0,33.0,24.444444444444443,3
01405,1287.0,15.0,1259.0,344.0,27.323272438443208,4
01406,180.0,11.0,180.0,36.0,20.0,2
01407,997.0,15.0,996.0,421.0,42.269076305220885,6
01408,664.0,15.0,664.0,152.0,22.89156626506024,3
01410,287.0,11.0,287.0,65.0,22.64808362369338,2
01411,263.0,11.0,263.0,49.0,18.631178707224336,2
01412,605.0,15.0,605.0,107.0,17.68595041322314,3
01415,514.0,15.0,435.0,119.0,27.35632183908046,4
01416,1024.0,15.0,956.0,335.0,35.0418410041841,5
01418,1208.0,15.0,1208.0,113.0,9.35430463576159,1
01419,6356.0,29.0,6353.0,2088.0,32.86636234849677,10
01420,1644.0,19.0,1457.0,1010.0,69.32052161976664,13
01421,744.0,15.0,744.0,119.0,15.994623655913978,2
01422,1389.0,15.0,1389.0,350.0,25.1979841612671,4
01423,1228.0,15.0,1228.0,123.0,10.01628664495114,2
01424,1845.0,19.0,1805.0,269.0,14.903047091412741,3
01425,288.0,11.0,288.0,25.0,8.680555555555555,1
01426,2494.0,19.0,2451.0,586.0,23.90860873113015,5
01427,6931.0,29.0,6911.0,3386.0,48.99435682245695,14
01428,131.0,11.0,131.0,28.0,21.374045801526716,2
01429,725.0,15.0,725.0,117.0,16.137931034482758,2
01430,664.0,15.0,664.0,184.0,27.710843373493976,4
01431,1218.0,15.0,1218.0,222.0,18.226600985221676,3
01432,343.0,11.0,343.0,61.0,17.784256559766764,2
01433,296.0,11.0,255.0,45.0,17.647058823529413,2
01434,500.0,15.0,500.0,113.0,22.6,3
01435,2222.0,19.0,2222.0,701.0,31.54815481548155,6
01436,513.0,15.0,513.0,139.0,27.09551656920078,4
01437,215.0,11.0,215.0,42.0,19.53488372093023,2
01439,97.0,7.0,97.0,20.0,20.618556701030926,1
01441,727.0,15.0,727.0,178.0,24.484181568088033,4
01443,5059.0,29.0,4799.0,1574.0,32.798499687434884,10
01444,1200.0,15.0,1200.0,232.0,19.333333333333332,3
01445,607.0,15.0,607.0,87.0,14.332784184514002,2
01446,1603.0,19.0,1603.0,208.0,12.975670617592014,2
01447,1391.0,15.0,1293.0,412.0,31.863882443928848,5
01448,390.0,11.0,390.0,62.0,15.897435897435896,2
01449,763.0,15.0,763.0,130.0,17.03800786369594,3
01450,3831.0,27.0,3809.0,673.0,17.66867944342347,5
01451,6955.0,29.0,6806.0,2047.0,30.07640317367029,9
01452,1110.0,15.0,1081.0,458.0,42.368177613321,6
01453,715.0,15.0,654.0,113.0,17.2782874617737,3
01454,1122.0,15.0,1072.0,252.0,23.507462686567166,4
01456,71.0,7.0,71.0,7.0,9.859154929577464,1
01457,3233.0,23.0,3208.0,1135.0,35.380299251870326,8
02001,513.0,15.0,513.0,95.0,18.51851851851852,3
02002,586.0,15.0,586.0,82.0,13.993174061433447,2
02003,1013.0,15.0,1013.0,195.0,19.2497532082922,3
02004,188.0,11.0,188.0,40.0,21.27659574468085,2
02005,405.0,11.0,405.0,91.0,22.469135802469136,2
02006,257.0,11.0,257.0,48.0,18.67704280155642,2
02007,119.0,11.0,119.0,26.0,21.84873949579832,2
02008,308.0,11.0,308.0,46.0,14.935064935064934,2
02009,522.0,15.0,522.0,97.0,18.582375478927204,3
02010,166.0,11.0,166.0,23.0,13.855421686746988,2
02011,1203.0,15.0,1195.0,209.0,17.489539748953973,3
02012,81.0,7.0,81.0,24.0,29.629629629629626,2
